Sequence	RepeatType	Strain	Species	Gene	Allele	SeqID	Position
d4_het-d__PaWa53m_75	d4	PaWa53m	anserina	het-d	het-d	75	6
d6_het-d__PaWa53m_76	d6	PaWa53m	anserina	het-d	het-d	76	7
d2_het-d__PaWa53m_77	d2	PaWa53m	anserina	het-d	het-d	77	8
d11_het-d__PaWa53m_78	d11	PaWa53m	anserina	het-d	het-d	78	9
d7_het-d__PaWa53m_79	d7	PaWa53m	anserina	het-d	het-d	79	10
d1_het-d__PaWa28m_80	d1	PaWa28m	anserina	het-d	het-d	80	1
d10_het-d__PaWa28m_81	d10	PaWa28m	anserina	het-d	het-d	81	2
d10_het-d__PaWa28m_82	d10	PaWa28m	anserina	het-d	het-d	82	3
d6_het-d__PaWa28m_83	d6	PaWa28m	anserina	het-d	het-d	83	4
d6_het-d__PaWa28m_84	d6	PaWa28m	anserina	het-d	het-d	84	5
d2_het-d__PaWa28m_85	d2	PaWa28m	anserina	het-d	het-d	85	6
d10_het-d__PaWa63p_86	d10	PaWa63p	anserina	het-d	het-d	86	1
d2_het-d__PaWa63p_87	d2	PaWa63p	anserina	het-d	het-d	87	2
d11_het-d__PaWa63p_88	d11	PaWa63p	anserina	het-d	het-d	88	3
d7_het-d__PaWa63p_89	d7	PaWa63p	anserina	het-d	het-d	89	4
d1_het-d__PaWa87p_90	d1	PaWa87p	anserina	het-d	het-d	90	1
d10_het-d__PaWa87p_91	d10	PaWa87p	anserina	het-d	het-d	91	2
d16_het-d__PaWa87p_92	d16	PaWa87p	anserina	het-d	het-d	92	3
d4_het-d__PaWa87p_93	d4	PaWa87p	anserina	het-d	het-d	93	4
d5_het-d__PaWa87p_94	d5	PaWa87p	anserina	het-d	het-d	94	5
!_het-d__PaWa87p_95	!	PaWa87p	anserina	het-d	het-d	95	6
d6_het-d__PaWa87p_96	d6	PaWa87p	anserina	het-d	het-d	96	7
d6_het-d__PaWa87p_97	d6	PaWa87p	anserina	het-d	het-d	97	8
d2_het-d__PaWa87p_98	d2	PaWa87p	anserina	het-d	het-d	98	9
d11_het-d__PaWa87p_99	d11	PaWa87p	anserina	het-d	het-d	99	10
d7_het-d__PaWa87p_100	d7	PaWa87p	anserina	het-d	het-d	100	11
d1_het-d__PaWa58m_101	d1	PaWa58m	anserina	het-d	het-d	101	1
d10_het-d__PaWa58m_102	d10	PaWa58m	anserina	het-d	het-d	102	2
d2_het-d__PaWa58m_103	d2	PaWa58m	anserina	het-d	het-d	103	3
d4_het-d__PaWa58m_104	d4	PaWa58m	anserina	het-d	het-d	104	4
d5_het-d__PaWa58m_105	d5	PaWa58m	anserina	het-d	het-d	105	5
d4_het-d__PaWa58m_106	d4	PaWa58m	anserina	het-d	het-d	106	6
d6_het-d__PaWa58m_107	d6	PaWa58m	anserina	het-d	het-d	107	7
d7_het-d__PaWa58m_108	d7	PaWa58m	anserina	het-d	het-d	108	8
d2_het-d__PaWa58m_109	d2	PaWa58m	anserina	het-d	het-d	109	9
d11_het-d__PaWa58m_110	d11	PaWa58m	anserina	het-d	het-d	110	10
d7_het-d__PaWa58m_111	d7	PaWa58m	anserina	het-d	het-d	111	11
d1_het-d__PaWa21m_112	d1	PaWa21m	anserina	het-d	het-d	112	1
d2_het-d__PaWa21m_113	d2	PaWa21m	anserina	het-d	het-d	113	2
d3_het-d__PaWa21m_114	d3	PaWa21m	anserina	het-d	het-d	114	3
d4_het-d__PaWa21m_115	d4	PaWa21m	anserina	het-d	het-d	115	4
d17_het-d__PaWa21m_116	d17	PaWa21m	anserina	het-d	het-d	116	5
d18_het-d__PaWa21m_117	d18	PaWa21m	anserina	het-d	het-d	117	6
d6_het-d__PaWa21m_118	d6	PaWa21m	anserina	het-d	het-d	118	7
d19_het-d__PaWa21m_119	d19	PaWa21m	anserina	het-d	het-d	119	8
d4_het-d__PaWa21m_120	d4	PaWa21m	anserina	het-d	het-d	120	9
d18_het-d__PaWa21m_121	d18	PaWa21m	anserina	het-d	het-d	121	10
d6_het-d__PaWa21m_122	d6	PaWa21m	anserina	het-d	het-d	122	11
d1_het-d__PaWa100p_123	d1	PaWa100p	anserina	het-d	het-d	123	1
d2_het-d__PaWa100p_124	d2	PaWa100p	anserina	het-d	het-d	124	2
d3_het-d__PaWa100p_125	d3	PaWa100p	anserina	het-d	het-d	125	3
d4_het-d__PaWa100p_126	d4	PaWa100p	anserina	het-d	het-d	126	4
d5_het-d__PaWa100p_127	d5	PaWa100p	anserina	het-d	het-d	127	5
d4_het-d__PaWa100p_128	d4	PaWa100p	anserina	het-d	het-d	128	6
d6_het-d__PaWa100p_129	d6	PaWa100p	anserina	het-d	het-d	129	7
d6_het-d__PaWa100p_130	d6	PaWa100p	anserina	het-d	het-d	130	8
d2_het-d__PaWa100p_131	d2	PaWa100p	anserina	het-d	het-d	131	9
d12_het-d__PaWa100p_132	d12	PaWa100p	anserina	het-d	het-d	132	10
d7_het-d__PaWa100p_133	d7	PaWa100p	anserina	het-d	het-d	133	11
d1_het-d__PaWa137m_134	d1	PaWa137m	anserina	het-d	het-d	134	1
d2_het-d__PaWa137m_135	d2	PaWa137m	anserina	het-d	het-d	135	2
d4_het-d__PaWa137m_136	d4	PaWa137m	anserina	het-d	het-d	136	3
d5_het-d__PaWa137m_137	d5	PaWa137m	anserina	het-d	het-d	137	4
d4_het-d__PaWa137m_138	d4	PaWa137m	anserina	het-d	het-d	138	5
d6_het-d__PaWa137m_139	d6	PaWa137m	anserina	het-d	het-d	139	6
d6_het-d__PaWa137m_140	d6	PaWa137m	anserina	het-d	het-d	140	7
d2_het-d__PaWa137m_141	d2	PaWa137m	anserina	het-d	het-d	141	8
d11_het-d__PaWa137m_142	d11	PaWa137m	anserina	het-d	het-d	142	9
d7_het-d__PaWa137m_143	d7	PaWa137m	anserina	het-d	het-d	143	10
d1_het-d__PaTgp_144	d1	PaTgp	anserina	het-d	het-d	144	1
d10_het-d__PaTgp_145	d10	PaTgp	anserina	het-d	het-d	145	2
d4_het-d__PaTgp_146	d4	PaTgp	anserina	het-d	het-d	146	3
d5_het-d__PaTgp_147	d5	PaTgp	anserina	het-d	het-d	147	4
d4_het-d__PaTgp_148	d4	PaTgp	anserina	het-d	het-d	148	5
d6_het-d__PaTgp_149	d6	PaTgp	anserina	het-d	het-d	149	6
d6_het-d__PaTgp_150	d6	PaTgp	anserina	het-d	het-d	150	7
d2_het-d__PaTgp_151	d2	PaTgp	anserina	het-d	het-d	151	8
d11_het-d__PaTgp_152	d11	PaTgp	anserina	het-d	het-d	152	9
d7_het-d__PaTgp_153	d7	PaTgp	anserina	het-d	het-d	153	10
d13_het-d__Podan2_154	d13	PaSp	anserina	het-d	het-d	154	1
d10_het-d__Podan2_155	d10	PaSp	anserina	het-d	het-d	155	2
d20_het-d__Podan2_156	d20	PaSp	anserina	het-d	het-d	156	3
d6_het-d__Podan2_157	d6	PaSp	anserina	het-d	het-d	157	4
d2_het-d__Podan2_158	d2	PaSp	anserina	het-d	het-d	158	5
d1_het-d2Y_AF323585.1_likelyWrong_159	d1	Pa	anserina	het-d	het-d2Y_AF323585.1_likelyWrong	159	1
d10_het-d2Y_AF323585.1_likelyWrong_160	d10	Pa	anserina	het-d	het-d2Y_AF323585.1_likelyWrong	160	2
d2_het-d2Y_AF323585.1_likelyWrong_161	d2	Pa	anserina	het-d	het-d2Y_AF323585.1_likelyWrong	161	3
d4_het-d2Y_AF323585.1_likelyWrong_162	d4	Pa	anserina	het-d	het-d2Y_AF323585.1_likelyWrong	162	4
d6_het-d2Y_AF323585.1_likelyWrong_163	d6	Pa	anserina	het-d	het-d2Y_AF323585.1_likelyWrong	163	5
d6_het-d2Y_AF323585.1_likelyWrong_164	d6	Pa	anserina	het-d	het-d2Y_AF323585.1_likelyWrong	164	6
d2_het-d2Y_AF323585.1_likelyWrong_165	d2	Pa	anserina	het-d	het-d2Y_AF323585.1_likelyWrong	165	7
d5_het-d2Y_AF323585.1_likelyWrong_166	d5	Pa	anserina	het-d	het-d2Y_AF323585.1_likelyWrong	166	8
d4_het-d2Y_AF323585.1_likelyWrong_167	d4	Pa	anserina	het-d	het-d2Y_AF323585.1_likelyWrong	167	9
d6_het-d2Y_AF323585.1_likelyWrong_168	d6	Pa	anserina	het-d	het-d2Y_AF323585.1_likelyWrong	168	10
d7_het-d2Y_AF323585.1_likelyWrong_169	d7	Pa	anserina	het-d	het-d2Y_AF323585.1_likelyWrong	169	11
d21_hetD__PaWa137m-allkmers_NODE_17_length_267217_cov_71.367736_117737-121229_170	d21	PaWa137m	anserina	?	hetD__PaWa137m-allkmers_NODE_17_length_267217_cov_71.367736_117737-121229	170	1
d2_hetD__PaWa137m-allkmers_NODE_17_length_267217_cov_71.367736_117737-121229_171	d2	PaWa137m	anserina	?	hetD__PaWa137m-allkmers_NODE_17_length_267217_cov_71.367736_117737-121229	171	2
d5_hetD__PaWa137m-allkmers_NODE_17_length_267217_cov_71.367736_117737-121229_172	d5	PaWa137m	anserina	?	hetD__PaWa137m-allkmers_NODE_17_length_267217_cov_71.367736_117737-121229	172	3
d4_hetD__PaWa137m-allkmers_NODE_17_length_267217_cov_71.367736_117737-121229_173	d4	PaWa137m	anserina	?	hetD__PaWa137m-allkmers_NODE_17_length_267217_cov_71.367736_117737-121229	173	4
d1_hetD__PaYp-allkmers_NODE_146_length_72021_cov_33.907164_61430-64867_174	d1	PaYp	anserina	?	hetD__PaYp-allkmers_NODE_146_length_72021_cov_33.907164_61430-64867	174	1
d4_hetD__PaYp-allkmers_NODE_146_length_72021_cov_33.907164_61430-64867_175	d4	PaYp	anserina	?	hetD__PaYp-allkmers_NODE_146_length_72021_cov_33.907164_61430-64867	175	2
d7_hetD__PaYp-allkmers_NODE_146_length_72021_cov_33.907164_61430-64867_176	d7	PaYp	anserina	?	hetD__PaYp-allkmers_NODE_146_length_72021_cov_33.907164_61430-64867	176	3
d1_hetD__PaYp-default_NODE_192_length_64124_cov_50.060388_1-2794_177	d1	PaYp	anserina	?	hetD__PaYp-default_NODE_192_length_64124_cov_50.060388_1-2794	177	1
d10_hetD__PaYp-default_NODE_192_length_64124_cov_50.060388_1-2794_178	d10	PaYp	anserina	?	hetD__PaYp-default_NODE_192_length_64124_cov_50.060388_1-2794	178	2
d21_hetD__PaZp-default_NODE_155_length_82065_cov_50.213779_1-2668_179	d21	PaZp	anserina	?	hetD__PaZp-default_NODE_155_length_82065_cov_50.213779_1-2668	179	1
d1_hetD__PaZp-allkmers_NODE_2_length_699856_cov_33.409344_7155-10401_180	d1	PaZp	anserina	?	hetD__PaZp-allkmers_NODE_2_length_699856_cov_33.409344_7155-10401	180	1
d2_hetD__PaZp-allkmers_NODE_2_length_699856_cov_33.409344_7155-10401_181	d2	PaZp	anserina	?	hetD__PaZp-allkmers_NODE_2_length_699856_cov_33.409344_7155-10401	181	2
d10_hetD__PaWa63p-allkmers_NODE_126_length_94574_cov_32.647481_9937-13241_182	d10	PaWa63p	anserina	?	hetD__PaWa63p-allkmers_NODE_126_length_94574_cov_32.647481_9937-13241	182	1
d2_hetD__PaWa63p-allkmers_NODE_126_length_94574_cov_32.647481_9937-13241_183	d2	PaWa63p	anserina	?	hetD__PaWa63p-allkmers_NODE_126_length_94574_cov_32.647481_9937-13241	183	2
d11_hetD__PaWa63p-allkmers_NODE_126_length_94574_cov_32.647481_9937-13241_184	d11	PaWa63p	anserina	?	hetD__PaWa63p-allkmers_NODE_126_length_94574_cov_32.647481_9937-13241	184	3
d7_hetD__PaWa63p-allkmers_NODE_126_length_94574_cov_32.647481_9937-13241_185	d7	PaWa63p	anserina	?	hetD__PaWa63p-allkmers_NODE_126_length_94574_cov_32.647481_9937-13241	185	4
d10_hetD__PaWa63p-default1_NODE_184_length_66775_cov_46.321358_1-2651_186	d10	PaWa63p	anserina	?	hetD__PaWa63p-default1_NODE_184_length_66775_cov_46.321358_1-2651	186	1
d11_hetD__PaWa63p-default2_NODE_460_length_7561_cov_52.116307_7013-7561_187	d11	PaWa63p	anserina	?	hetD__PaWa63p-default2_NODE_460_length_7561_cov_52.116307_7013-7561	187	1
d7_hetD__PaWa63p-default2_NODE_460_length_7561_cov_52.116307_7013-7561_188	d7	PaWa63p	anserina	?	hetD__PaWa63p-default2_NODE_460_length_7561_cov_52.116307_7013-7561	188	2
r1_het-R__PaWa63p_189	r1	PaWa63p	anserina	het-r	het-R	189	1
r2_het-R__PaWa63p_190	r2	PaWa63p	anserina	het-r	het-R	190	2
r3_het-R__PaWa63p_191	r3	PaWa63p	anserina	het-r	het-R	191	3
r4_het-R__PaWa63p_192	r4	PaWa63p	anserina	het-r	het-R	192	4
r5_het-R__PaWa63p_193	r5	PaWa63p	anserina	het-r	het-R	193	5
r6_het-R__PaWa63p_194	r6	PaWa63p	anserina	het-r	het-R	194	6
r7_het-R__PaWa63p_195	r7	PaWa63p	anserina	het-r	het-R	195	7
r8_het-R__PaWa63p_196	r8	PaWa63p	anserina	het-r	het-R	196	8
r9_het-R__PaWa63p_197	r9	PaWa63p	anserina	het-r	het-R	197	9
r10_het-R__PaWa63p_198	r10	PaWa63p	anserina	het-r	het-R	198	10
r11_het-R__PaWa63p_199	r11	PaWa63p	anserina	het-r	het-R	199	11
r1_het-R__PaYp_200	r1	PaYp	anserina	het-r	het-R	200	1
r2_het-R__PaYp_201	r2	PaYp	anserina	het-r	het-R	201	2
r3_het-R__PaYp_202	r3	PaYp	anserina	het-r	het-R	202	3
r4_het-R__PaYp_203	r4	PaYp	anserina	het-r	het-R	203	4
r5_het-R__PaYp_204	r5	PaYp	anserina	het-r	het-R	204	5
r6_het-R__PaYp_205	r6	PaYp	anserina	het-r	het-R	205	6
r7_het-R__PaYp_206	r7	PaYp	anserina	het-r	het-R	206	7
r8_het-R__PaYp_207	r8	PaYp	anserina	het-r	het-R	207	8
r9_het-R__PaYp_208	r9	PaYp	anserina	het-r	het-R	208	9
r10_het-R__PaYp_209	r10	PaYp	anserina	het-r	het-R	209	10
r11_het-R__PaYp_210	r11	PaYp	anserina	het-r	het-R	210	11
r3_het-r__PaWa53m_211	r3	PaWa53m	anserina	het-r	het-r	211	1
r1_het-r__PaWa21m_212	r1	PaWa21m	anserina	het-r	het-r	212	1
r2_het-r__PaWa21m_213	r2	PaWa21m	anserina	het-r	het-r	213	2
r3_het-r__PaWa21m_214	r3	PaWa21m	anserina	het-r	het-r	214	3
r4_het-r__PaWa21m_215	r4	PaWa21m	anserina	het-r	het-r	215	4
r5_het-r__PaWa21m_216	r5	PaWa21m	anserina	het-r	het-r	216	5
r6_het-r__PaWa21m_217	r6	PaWa21m	anserina	het-r	het-r	217	6
r7_het-r__PaWa21m_218	r7	PaWa21m	anserina	het-r	het-r	218	7
r8_het-r__PaWa21m_219	r8	PaWa21m	anserina	het-r	het-r	219	8
r9_het-r__PaWa21m_220	r9	PaWa21m	anserina	het-r	het-r	220	9
r10_het-r__PaWa21m_221	r10	PaWa21m	anserina	het-r	het-r	221	10
r11_het-r__PaWa21m_222	r11	PaWa21m	anserina	het-r	het-r	222	11
r1_het-r__PaWa28m_223	r1	PaWa28m	anserina	het-r	het-r	223	1
r2_het-r__PaWa28m_224	r2	PaWa28m	anserina	het-r	het-r	224	2
r3_het-r__PaWa28m_225	r3	PaWa28m	anserina	het-r	het-r	225	3
r4_het-r__PaWa28m_226	r4	PaWa28m	anserina	het-r	het-r	226	4
r5_het-r__PaWa28m_227	r5	PaWa28m	anserina	het-r	het-r	227	5
r6_het-r__PaWa28m_228	r6	PaWa28m	anserina	het-r	het-r	228	6
r7_het-r__PaWa28m_229	r7	PaWa28m	anserina	het-r	het-r	229	7
r8_het-r__PaWa28m_230	r8	PaWa28m	anserina	het-r	het-r	230	8
r9_het-r__PaWa28m_231	r9	PaWa28m	anserina	het-r	het-r	231	9
r10_het-r__PaWa28m_232	r10	PaWa28m	anserina	het-r	het-r	232	10
r11_het-r__PaWa28m_233	r11	PaWa28m	anserina	het-r	het-r	233	11
r1_het-r__PaWa46p_234	r1	PaWa46p	anserina	het-r	het-r	234	1
r2_het-r__PaWa46p_235	r2	PaWa46p	anserina	het-r	het-r	235	2
r3_het-r__PaWa46p_236	r3	PaWa46p	anserina	het-r	het-r	236	3
r4_het-r__PaWa46p_237	r4	PaWa46p	anserina	het-r	het-r	237	4
r5_het-r__PaWa46p_238	r5	PaWa46p	anserina	het-r	het-r	238	5
r6_het-r__PaWa46p_239	r6	PaWa46p	anserina	het-r	het-r	239	6
r7_het-r__PaWa46p_240	r7	PaWa46p	anserina	het-r	het-r	240	7
r8_het-r__PaWa46p_241	r8	PaWa46p	anserina	het-r	het-r	241	8
r9_het-r__PaWa46p_242	r9	PaWa46p	anserina	het-r	het-r	242	9
r10_het-r__PaWa46p_243	r10	PaWa46p	anserina	het-r	het-r	243	10
r11_het-r__PaWa46p_244	r11	PaWa46p	anserina	het-r	het-r	244	11
r1_het-r__PaWa58m_245	r1	PaWa58m	anserina	het-r	het-r	245	1
r2_het-r__PaWa58m_246	r2	PaWa58m	anserina	het-r	het-r	246	2
r3_het-r__PaWa58m_247	r3	PaWa58m	anserina	het-r	het-r	247	3
r4_het-r__PaWa58m_248	r4	PaWa58m	anserina	het-r	het-r	248	4
r12_het-r__PaWa58m_249	r12	PaWa58m	anserina	het-r	het-r	249	5
r7_het-r__PaWa58m_250	r7	PaWa58m	anserina	het-r	het-r	250	6
r8_het-r__PaWa58m_251	r8	PaWa58m	anserina	het-r	het-r	251	7
r9_het-r__PaWa58m_252	r9	PaWa58m	anserina	het-r	het-r	252	8
r10_het-r__PaWa58m_253	r10	PaWa58m	anserina	het-r	het-r	253	9
r11_het-r__PaWa58m_254	r11	PaWa58m	anserina	het-r	het-r	254	10
r1_het-r__PaWa87p_255	r1	PaWa87p	anserina	het-r	het-r	255	1
r2_het-r__PaWa87p_256	r2	PaWa87p	anserina	het-r	het-r	256	2
r3_het-r__PaWa87p_257	r3	PaWa87p	anserina	het-r	het-r	257	3
r4_het-r__PaWa87p_258	r4	PaWa87p	anserina	het-r	het-r	258	4
r13_het-r__PaWa87p_259	r13	PaWa87p	anserina	het-r	het-r	259	5
r13_het-r__PaWa87p_260	r13	PaWa87p	anserina	het-r	het-r	260	6
r2_het-r__PaWa87p_261	r2	PaWa87p	anserina	het-r	het-r	261	7
r4_het-r__PaWa87p_262	r4	PaWa87p	anserina	het-r	het-r	262	8
r5_het-r__PaWa87p_263	r5	PaWa87p	anserina	het-r	het-r	263	9
r14_het-r__PaWa87p_264	r14	PaWa87p	anserina	het-r	het-r	264	10
r10_het-r__PaWa87p_265	r10	PaWa87p	anserina	het-r	het-r	265	11
r11_het-r__PaWa87p_266	r11	PaWa87p	anserina	het-r	het-r	266	12
r3_het-r__PaWa100p_267	r3	PaWa100p	anserina	het-r	het-r	267	1
r1_het-r__PaWa137m_268	r1	PaWa137m	anserina	het-r	het-r	268	1
r2_het-r__PaWa137m_269	r2	PaWa137m	anserina	het-r	het-r	269	2
r3_het-r__PaWa137m_270	r3	PaWa137m	anserina	het-r	het-r	270	3
r4_het-r__PaWa137m_271	r4	PaWa137m	anserina	het-r	het-r	271	4
r5_het-r__PaWa137m_272	r5	PaWa137m	anserina	het-r	het-r	272	5
r6_het-r__PaWa137m_273	r6	PaWa137m	anserina	het-r	het-r	273	6
r7_het-r__PaWa137m_274	r7	PaWa137m	anserina	het-r	het-r	274	7
r8_het-r__PaWa137m_275	r8	PaWa137m	anserina	het-r	het-r	275	8
r9_het-r__PaWa137m_276	r9	PaWa137m	anserina	het-r	het-r	276	9
r10_het-r__PaWa137m_277	r10	PaWa137m	anserina	het-r	het-r	277	10
r11_het-r__PaWa137m_278	r11	PaWa137m	anserina	het-r	het-r	278	11
r1_het-r__PaTgp_279	r1	PaTgp	anserina	het-r	het-r	279	1
r2_het-r__PaTgp_280	r2	PaTgp	anserina	het-r	het-r	280	2
r3_het-r__PaTgp_281	r3	PaTgp	anserina	het-r	het-r	281	3
r4_het-r__PaTgp_282	r4	PaTgp	anserina	het-r	het-r	282	4
r5_het-r__PaTgp_283	r5	PaTgp	anserina	het-r	het-r	283	5
r6_het-r__PaTgp_284	r6	PaTgp	anserina	het-r	het-r	284	6
r7_het-r__PaTgp_285	r7	PaTgp	anserina	het-r	het-r	285	7
r8_het-r__PaTgp_286	r8	PaTgp	anserina	het-r	het-r	286	8
r9_het-r__PaTgp_287	r9	PaTgp	anserina	het-r	het-r	287	9
r10_het-r__PaTgp_288	r10	PaTgp	anserina	het-r	het-r	288	10
r11_het-r__PaTgp_289	r11	PaTgp	anserina	het-r	het-r	289	11
r3_het-r__PaZp.R10_290	r3	PaZp	anserina	het-r	het-r	290	1
r10_het-r__PaZp.R10_291	r10	PaZp	anserina	het-r	het-r	291	2
r11_het-r__PaZp.R10_292	r11	PaZp	anserina	het-r	het-r	292	3
r1_het-r__Podan2_293	r1	PaSp	anserina	het-r	het-r	293	1
r2_het-r__Podan2_294	r2	PaSp	anserina	het-r	het-r	294	2
r15_het-r__Podan2_295	r15	PaSp	anserina	het-r	het-r	295	3
r1_het-r__CmEmm.R10_296	r1	CmEmm	anserina	het-r	het-r	296	1
r2_het-r__CmEmm.R10_297	r2	CmEmm	anserina	het-r	het-r	297	2
