geneid	allele	strain	repeatn	repnumber	position
het-r	r	PaWa46p	r2	2	2
het-r	r	PaWa46p	r3	3	3
het-r	r	PaWa46p	r4	4	4
het-r	r	PaWa46p	r5	5	5
het-r	r	PaWa46p	r6	6	6
het-r	r	PaWa46p	r7	7	7
het-r	r	PaWa46p	r8	8	8
het-r	r	PaWa46p	r9	9	9
het-r	r	PaWa46p	r10	10	10
het-r	r	PaWa46p	r11	11	11
het-r	r	PaWa58m	r1	1	1
het-r	r	PaWa58m	r2	2	2
het-r	r	PaWa58m	r3	3	3
het-r	r	PaWa58m	r4	4	4
het-r	r	PaWa58m	r12	12	5
het-r	r	PaWa58m	r7	7	6
het-r	r	PaWa58m	r8	8	7
het-r	r	PaWa58m	r9	9	8
het-r	r	PaWa58m	r10	10	9
het-r	r	PaWa58m	r11	11	10
het-r	r	PaWa87p	r1	1	1
het-r	r	PaWa87p	r2	2	2
het-r	r	PaWa87p	r3	3	3
het-r	r	PaWa87p	r4	4	4
het-r	r	PaWa87p	r13	13	5
het-r	r	PaWa87p	r13	13	6
het-r	r	PaWa87p	r2	2	7
het-r	r	PaWa87p	r4	4	8
het-r	r	PaWa87p	r5	5	9
het-r	r	PaWa87p	r14	14	10
het-r	r	PaWa87p	r10	10	11
het-r	r	PaWa87p	r11	11	12
het-r	r	PaWa100p	r3	3	1
het-r	r	PaWa137m	r1	1	1
het-r	r	PaWa137m	r2	2	2
het-r	r	PaWa137m	r3	3	3
het-r	r	PaWa137m	r4	4	4
het-r	r	PaWa137m	r5	5	5
het-r	r	PaWa137m	r6	6	6
het-r	r	PaWa137m	r7	7	7
het-r	r	PaWa137m	r8	8	8
het-r	r	PaWa137m	r9	9	9
het-r	r	PaWa137m	r10	10	10
het-r	r	PaWa137m	r11	11	11
het-r	r	PaTgp	r1	1	1
het-r	r	PaTgp	r2	2	2
het-r	r	PaTgp	r3	3	3
het-r	r	PaTgp	r4	4	4
het-r	r	PaTgp	r5	5	5
het-r	r	PaTgp	r6	6	6
het-r	r	PaTgp	r7	7	7
het-r	r	PaTgp	r8	8	8
het-r	r	PaTgp	r9	9	9
het-r	r	PaTgp	r10	10	10
het-r	r	PaTgp	r11	11	11
het-r	r	PaZp	r3	3	1
het-r	r	PaZp	r10	10	2
het-r	r	PaZp	r11	11	3
het-r	r	Podan2	r1	1	1
het-r	r	Podan2	r2	2	2
het-r	r	Podan2	r15	15	3
het-r	r	CmEmm	r1	1	1
het-r	r	CmEmm	r2	2	2
het-r	r	CmEmm	r15	15	3
het-r	r	CaDam	r3	3	1
het-r	hetR	PaWa137m-allkmers	r16	16	1
het-r	hetR	PaWa137m-allkmers	r6	6	2
het-r	hetR	PaWa137m-allkmers	r7	7	3
het-r	hetR	PaWa137m-allkmers	r8	8	4
het-r	hetR	PaWa137m-allkmers	r9	9	5
het-r	hetR	PaWa137m-allkmers	r10	10	6
het-r	hetR	PaWa137m-allkmers	r11	11	7
het-r	hetR	PaWa63p-default	r1	1	1
het-r	hetR	PaWa63p-default	r2	2	2
het-r	hetR	PaWa63p-allkmers	r1	1	1
het-r	hetR	PaWa63p-allkmers	r2	2	2
het-r	hetR	PaWa63p-allkmers	r3	3	3
het-r	hetR	PaWa63p-allkmers	r4	4	4
het-r	hetR	PaWa63p-allkmers	r5	5	5
het-r	hetR	PaWa63p-allkmers	r6	6	6
het-r	hetR	PaWa63p-allkmers	r7	7	7
het-r	hetR	PaWa63p-allkmers	r8	8	8
het-r	hetR	PaWa63p-allkmers	r9	9	9
het-r	hetR	PaWa63p-allkmers	r10	10	10
het-r	hetR	PaWa63p-allkmers	r11	11	11
het-r	hetR	PaYp-default	r1	1	1
het-r	hetR	PaYp-default	r2	2	2
het-r	hetR	PaYp-default	r3	3	3
het-r	hetR	PaYp-default	r4	4	4
het-r	hetR	PaYp-default	r5	5	5
het-r	hetR	PaYp-default	r6	6	6
het-r	hetR	PaYp-default	r7	7	7
het-r	hetR	PaYp-default	r8	8	8
het-r	hetR	PaYp-default	r9	9	9
het-r	hetR	PaYp-default	r10	10	10
het-r	hetR	PaYp-default	r11	11	11
het-r	hetR	PaYp-allkmers	r1	1	1
het-r	hetR	PaYp-allkmers	r2	2	2
het-r	hetR	PaYp-allkmers	r3	3	3
het-r	hetR	PaYp-allkmers	r4	4	4
het-r	hetR	PaYp-allkmers	r5	5	5
het-r	hetR	PaYp-allkmers	r6	6	6
het-r	hetR	PaYp-allkmers	r7	7	7
het-r	hetR	PaYp-allkmers	r8	8	8
het-r	hetR	PaYp-allkmers	r9	9	9
het-r	hetR	PaYp-allkmers	r10	10	10
het-r	hetR	PaYp-allkmers	r11	11	11
het-r	hetR	PaZp-default	r3	3	1
het-r	hetR	PaZp-allkmers	r3	3	1
het-r	hetR	PaZp-allkmers	r10	10	2
het-r	hetR	PaZp-allkmers	r11	11	3
het-e	E1	CmEmm	e1	1	1
het-e	E1	CmEmm	e2	2	2
het-e	E1	CmEmm	e3	3	3
het-e	E1	CmEmm	e1	1	4
het-e	E1	CmEmm	e4	4	5
het-e	E1	CmEmm	e5	5	6
het-e	E1	CmEmm	e6	6	7
het-e	E1	CmEmm	e7	7	8
het-e	E1	CmEmm	e8	8	9
het-e	E1	CmEmm	e9	9	10
het-e	E1	CmEmm	e10	10	11
het-e	E1	CmEmm	e10	10	12
het-e	E1	ChEhDap	e11	11	1
het-e	E1	ChEhDap	e2	2	2
het-e	E1	ChEhDap	e3	3	3
het-e	E1	ChEhDap	e1	1	4
het-e	E1	ChEhDap	e12	12	5
het-e	E1	ChEhDap	e13	13	6
het-e	E1	ChEhDap	e14	14	7
het-e	E1	ChEhDap	e15	15	8
het-e	E1	ChEhDap	e9	9	9
het-e	E1	ChEhDap	e16	16	10
het-e	E1	ChEhDap	e10	10	11
het-e	E1	PaYp	e11	11	1
het-e	E1	PaYp	e2	2	2
het-e	E1	PaYp	e3	3	3
het-e	E1	PaYp	e1	1	4
het-e	E1	PaYp	e17	17	5
het-e	E1	PaYp	e13	13	6
het-e	E1	PaYp	e14	14	7
het-e	E1	PaYp	e15	15	8
het-e	E1	PaYp	e9	9	9
het-e	E1	PaYp	e18	18	10
het-e	E1	PaYp	e10	10	11
het-e	E2	CoEcp	e1	1	1
het-e	E2	CoEcp	e2	2	2
het-e	E2	CoEcp	e1	1	3
het-e	E2	CoEcp	e19	19	4
het-e	E2	CoEcp	e20	20	5
het-e	E2	CoEcp	e21	21	6
het-e	E2	CoEcp	e14	14	7
het-e	E2	CoEcp	e15	15	8
het-e	E2	CoEcp	e9	9	9
het-e	E2	CoEcp	e22	22	10
het-e	E3	PaZp	e1	1	1
het-e	E3	PaZp	e2	2	2
het-e	E3	PaZp	e1	1	3
het-e	E3	PaZp	e19	19	4
het-e	E3	PaZp	e4	4	5
het-e	E3	PaZp	e20	20	6
het-e	E3	PaZp	e14	14	7
het-e	E3	PaZp	e15	15	8
het-e	E3	PaZp	e9	9	9
het-e	E3	PaZp	e9	9	10
het-e	E3	PaZp	e9	9	11
het-e	E3	PaZp	e22	22	12
het-e	E3	CoEfp	e1	1	1
het-e	E3	CoEfp	e2	2	2
het-e	E3	CoEfp	e1	1	3
het-e	E3	CoEfp	e19	19	4
het-e	E3	CoEfp	e4	4	5
het-e	E3	CoEfp	e20	20	6
het-e	E3	CoEfp	e14	14	7
het-e	E3	CoEfp	e15	15	8
het-e	E3	CoEfp	e9	9	9
het-e	E3	CoEfp	e9	9	10
het-e	E3	CoEfp	e22	22	11
het-e	e4	CaDam	e1	1	1
het-e	e4	CaDam	e23	23	2
het-e	e4	CaDam	e22	22	3
het-e	e	Podan2	e1	1	1
het-e	e	Podan2	e23	23	2
het-e	e	Podan2	e22	22	3
het-e	e	PaWa58m	e1	1	1
het-e	e	PaWa58m	e2	2	2
het-e	e	PaWa58m	e1	1	3
het-e	e	PaWa58m	e19	19	4
het-e	e	PaWa58m	e4	4	5
het-e	e	PaWa58m	e20	20	6
het-e	e	PaWa58m	e14	14	7
het-e	e	PaWa58m	e15	15	8
het-e	e	PaWa58m	e9	9	9
het-e	e	PaWa58m	e9	9	10
het-e	e	PaWa58m	e9	9	11
het-e	e	PaWa58m	e22	22	12
het-e	e	PaWa100p	e11	11	1
het-e	e	PaWa100p	e2	2	2
het-e	e	PaWa100p	e3	3	3
het-e	e	PaWa100p	e1	1	4
het-e	e	PaWa100p	e12	12	5
het-e	e	PaWa100p	e13	13	6
het-e	e	PaWa100p	e14	14	7
het-e	e	PaWa100p	e15	15	8
het-e	e	PaWa100p	e9	9	9
het-e	e	PaWa100p	e16	16	10
het-e	e	PaWa100p	e10	10	11
het-e	e	PaWa46p	e1	1	1
het-e	e	PaWa46p	e2	2	2
het-e	e	PaWa46p	e1	1	3
het-e	e	PaWa46p	e19	19	4
het-e	e	PaWa46p	e4	4	5
het-e	e	PaWa46p	e20	20	6
het-e	e	PaWa46p	e14	14	7
het-e	e	PaWa46p	e15	15	8
het-e	e	PaWa46p	e9	9	9
het-e	e	PaWa46p	e9	9	10
het-e	e	PaWa46p	e9	9	11
het-e	e	PaWa46p	e22	22	12
het-e	e	PaWa63p	e1	1	1
het-e	e	PaWa63p	e2	2	2
het-e	e	PaWa63p	e3	3	3
het-e	e	PaWa63p	e1	1	4
het-e	e	PaWa63p	e4	4	5
het-e	e	PaWa63p	e24	24	6
het-e	e	PaWa63p	e25	25	7
het-e	e	PaWa63p	e24	24	8
het-e	e	PaWa63p	e15	15	9
het-e	e	PaWa63p	e10	10	10
het-e	e	PaWa63p	e10	10	11
het-e	e	PaWa21m	e11	11	1
het-e	e	PaWa21m	e2	2	2
het-e	e	PaWa21m	e3	3	3
het-e	e	PaWa21m	e1	1	4
het-e	e	PaWa21m	e14	14	5
het-e	e	PaWa21m	e15	15	6
het-e	e	PaWa21m	e9	9	7
het-e	e	PaWa21m	e16	16	8
het-e	e	PaWa21m	e10	10	9
het-e	e	PaWa53m	e1	1	1
het-e	e	PaWa53m	e2	2	2
het-e	e	PaWa53m	e1	1	3
het-e	e	PaWa53m	e19	19	4
het-e	e	PaWa53m	e20	20	5
het-e	e	PaWa53m	e9	9	6
het-e	e	PaWa53m	e22	22	7
het-e	e	PaWa87p	e1	1	1
het-e	e	PaWa87p	e2	2	2
het-e	e	PaWa87p	e3	3	3
het-e	e	PaWa87p	e1	1	4
het-e	e	PaWa87p	e4	4	5
het-e	e	PaWa87p	e5	5	6
het-e	e	PaWa87p	e7	7	7
het-e	e	PaWa87p	e26	26	8
het-e	e	PaWa87p	e8	8	9
het-e	e	PaWa87p	e9	9	10
het-e	e	PaWa87p	e10	10	11
het-e	e	PaWa87p	e10	10	12
het-e	e	PaWa28m	e1	1	1
het-e	e	PaWa28m	e2	2	2
het-e	e	PaWa28m	e27	27	3
het-e	e	PaWa28m	e28	28	4
het-e	e	PaWa28m	e4	4	5
het-e	e	PaWa28m	e5	5	6
het-e	e	PaWa28m	e6	6	7
het-e	e	PaWa28m	e26	26	8
het-e	e	PaWa28m	e8	8	9
het-e	e	PaWa28m	e9	9	10
het-e	e	PaWa28m	e10	10	11
het-e	e	PaWa28m	e10	10	12
het-e	e	PaWa137m	e1	1	1
het-e	e	PaWa137m	e2	2	2
het-e	e	PaWa137m	e3	3	3
het-e	e	PaWa137m	e1	1	4
het-e	e	PaWa137m	e4	4	5
het-e	e	PaWa137m	e24	24	6
het-e	e	PaWa137m	e25	25	7
het-e	e	PaWa137m	e24	24	8
het-e	e	PaWa137m	e15	15	9
het-e	e	PaWa137m	e10	10	10
het-e	e	PaWa137m	e10	10	11
het-e	e	PaTgp	e1	1	1
het-e	e	PaTgp	e2	2	2
het-e	e	PaTgp	e3	3	3
het-e	e	PaTgp	e1	1	4
het-e	e	PaTgp	e4	4	5
het-e	e	PaTgp	e24	24	6
het-e	e	PaTgp	e25	25	7
het-e	e	PaTgp	e24	24	8
het-e	e	PaTgp	e15	15	9
het-e	e	PaTgp	e10	10	10
het-e	e	PaTgp	e10	10	11
het-e	E1A	FJ897789	e2	2	1
het-e	E1A	FJ897789	e3	3	2
het-e	E1A	FJ897789	e1	1	3
het-e	E1A	FJ897789	e17	17	4
het-e	E1A	FJ897789	e29	29	5
het-e	E1A	FJ897789	e14	14	6
het-e	E1A	FJ897789	e15	15	7
het-e	E1A	FJ897789	e9	9	8
het-e	E1A	FJ897789	e18	18	9
het-e	E1A	FJ897789	e10	10	10
het-e	E1A	FJ897789	?	0	11
het-e	E2C	AF323582	e11	11	1
het-e	E2C	AF323582	e2	2	2
het-e	E2C	AF323582	e1	1	3
het-e	E2C	AF323582	e19	19	4
het-e	E2C	AF323582	e13	13	5
het-e	E2C	AF323582	e21	21	6
het-e	E2C	AF323582	e30	30	7
het-e	E2C	AF323582	e15	15	8
het-e	E2C	AF323582	e9	9	9
het-e	E2C	AF323582	e22	22	10
het-e	E1A	L28125	e11	11	1
het-e	E1A	L28125	e2	2	2
het-e	E1A	L28125	e3	3	3
het-e	E1A	L28125	e1	1	4
het-e	E1A	L28125	e29	29	5
het-e	E1A	L28125	e14	14	6
het-e	E1A	L28125	e15	15	7
het-e	E1A	L28125	e9	9	8
het-e	E1A	L28125	e18	18	9
het-e	E1A	L28125	e10	10	10
het-e	E1A	L28125_fix	e11	11	1
het-e	E1A	L28125_fix	e2	2	2
het-e	E1A	L28125_fix	e3	3	3
het-e	E1A	L28125_fix	e1	1	4
het-e	E1A	L28125_fix	e13	13	5
het-e	E1A	L28125_fix	e14	14	6
het-e	E1A	L28125_fix	e15	15	7
het-e	E1A	L28125_fix	e9	9	8
het-e	E1A	L28125_fix	e18	18	9
het-e	E1A	L28125_fix	e10	10	10
het-e	e2C*4	AF323583	e11	11	1
het-e	e2C*4	AF323583	e2	2	2
het-e	e2C*4	AF323583	e1	1	3
het-e	e2C*4	AF323583	e19	19	4
het-e	e2C*4	AF323583	e13	13	5
het-e	e2C*4	AF323583	e31	31	6
het-e	e2C*4	AF323583	e6	6	7
het-e	e2C*4	AF323583	e15	15	8
het-e	e2C*4	AF323583	e9	9	9
het-e	e2C*4	AF323583	e22	22	10
het-e	hetE	PaWa137m-allkmers	e1	1	1
het-e	hetE	PaWa137m-allkmers	e2	2	2
het-e	hetE	PaWa137m-allkmers	e3	3	3
het-e	hetE	PaWa137m-allkmers	e1	1	4
het-e	hetE	PaWa137m-allkmers	e4	4	5
het-e	hetE	PaWa137m-allkmers	e24	24	6
het-e	hetE	PaWa137m-allkmers	e15	15	7
het-e	hetE	PaWa137m-allkmers	e10	10	8
het-e	hetE	PaYp-default	.	0	1
het-e	hetE	PaWa63p-default	e1	1	1
het-e	hetE	PaWa63p-default2	.	0	1
het-e	hetE	PaWa63p-allkmers	e1	1	1
het-e	hetE	PaWa63p-allkmers	e2	2	2
het-e	hetE	PaWa63p-allkmers	e3	3	3
het-e	hetE	PaWa63p-allkmers2	.	0	1
het-e	hetE	PaYp-allkmers	e32	32	1
het-e	hetE	PaYp-allkmers	e14	14	2
het-e	hetE	PaYp-default2	.	0	1
het-e	hetE	PaYp-allkmers2	e10	10	1
het-e	hetE	PaZp-allkmers	e1	1	1
het-e	hetE	PaZp-allkmers	e2	2	2
het-e	hetE	PaZp-allkmers	e1	1	3
het-e	hetE	PaZp-allkmers	e19	19	4
het-e	hetE	PaZp-allkmers	e20	20	5
het-e	hetE	PaZp-allkmers	e14	14	6
het-e	hetE	PaZp-allkmers	e15	15	7
het-e	hetE	PaZp-allkmers	e9	9	8
het-e	hetE	PaZp-allkmers	e9	9	9
het-e	hetE	PaZp-allkmers	e22	22	10
het-e	hetE	PaZp-default	e1	1	1
het-e	hetE	PaZp-default2	e33	33	1
het-e	hetE	PaZp-default2	e9	9	2
het-e	hetE	PaZp-default2	e9	9	3
het-e	hetE	PaZp-default2	e22	22	4
