Sequence	RepeatType	Strain	Species	Gene	Allele	SeqID	Position
d10_het-d__PaWa28m_75	d10	PaWa28m	anserina	het-d	het-d	75	2
d10_het-d__PaWa28m_76	d10	PaWa28m	anserina	het-d	het-d	76	3
d6_het-d__PaWa28m_77	d6	PaWa28m	anserina	het-d	het-d	77	4
d6_het-d__PaWa28m_78	d6	PaWa28m	anserina	het-d	het-d	78	5
d2_het-d__PaWa28m_79	d2	PaWa28m	anserina	het-d	het-d	79	6
d1_het-d__PaWa46p_80	d1	PaWa46p	anserina	het-d	het-d	80	1
d2_het-d__PaWa46p_81	d2	PaWa46p	anserina	het-d	het-d	81	2
d2_het-d__PaWa46p_82	d2	PaWa46p	anserina	het-d	het-d	82	3
d6_het-d__PaWa46p_83	d6	PaWa46p	anserina	het-d	het-d	83	4
d2_het-d__PaWa46p_84	d2	PaWa46p	anserina	het-d	het-d	84	5
d11_het-d__PaWa46p_85	d11	PaWa46p	anserina	het-d	het-d	85	6
d7_het-d__PaWa46p_86	d7	PaWa46p	anserina	het-d	het-d	86	7
d1_het-d__PaWa53m_87	d1	PaWa53m	anserina	het-d	het-d	87	1
d10_het-d__PaWa53m_88	d10	PaWa53m	anserina	het-d	het-d	88	2
d2_het-d__PaWa53m_89	d2	PaWa53m	anserina	het-d	het-d	89	3
d4_het-d__PaWa53m_90	d4	PaWa53m	anserina	het-d	het-d	90	4
d5_het-d__PaWa53m_91	d5	PaWa53m	anserina	het-d	het-d	91	5
d4_het-d__PaWa53m_92	d4	PaWa53m	anserina	het-d	het-d	92	6
d6_het-d__PaWa53m_93	d6	PaWa53m	anserina	het-d	het-d	93	7
d2_het-d__PaWa53m_94	d2	PaWa53m	anserina	het-d	het-d	94	8
d11_het-d__PaWa53m_95	d11	PaWa53m	anserina	het-d	het-d	95	9
d7_het-d__PaWa53m_96	d7	PaWa53m	anserina	het-d	het-d	96	10
d1_het-d__PaWa58m_97	d1	PaWa58m	anserina	het-d	het-d	97	1
d10_het-d__PaWa58m_98	d10	PaWa58m	anserina	het-d	het-d	98	2
d2_het-d__PaWa58m_99	d2	PaWa58m	anserina	het-d	het-d	99	3
d4_het-d__PaWa58m_100	d4	PaWa58m	anserina	het-d	het-d	100	4
d5_het-d__PaWa58m_101	d5	PaWa58m	anserina	het-d	het-d	101	5
d4_het-d__PaWa58m_102	d4	PaWa58m	anserina	het-d	het-d	102	6
d6_het-d__PaWa58m_103	d6	PaWa58m	anserina	het-d	het-d	103	7
d7_het-d__PaWa58m_104	d7	PaWa58m	anserina	het-d	het-d	104	8
d2_het-d__PaWa58m_105	d2	PaWa58m	anserina	het-d	het-d	105	9
d11_het-d__PaWa58m_106	d11	PaWa58m	anserina	het-d	het-d	106	10
d7_het-d__PaWa58m_107	d7	PaWa58m	anserina	het-d	het-d	107	11
d10_het-d__PaWa63p_108	d10	PaWa63p	anserina	het-d	het-d	108	1
d2_het-d__PaWa63p_109	d2	PaWa63p	anserina	het-d	het-d	109	2
d11_het-d__PaWa63p_110	d11	PaWa63p	anserina	het-d	het-d	110	3
d7_het-d__PaWa63p_111	d7	PaWa63p	anserina	het-d	het-d	111	4
d1_het-d__PaWa87p_112	d1	PaWa87p	anserina	het-d	het-d	112	1
d10_het-d__PaWa87p_113	d10	PaWa87p	anserina	het-d	het-d	113	2
d19_het-d__PaWa87p_114	d19	PaWa87p	anserina	het-d	het-d	114	3
d4_het-d__PaWa87p_115	d4	PaWa87p	anserina	het-d	het-d	115	4
d5_het-d__PaWa87p_116	d5	PaWa87p	anserina	het-d	het-d	116	5
!_het-d__PaWa87p_117	!	PaWa87p	anserina	het-d	het-d	117	6
d6_het-d__PaWa87p_118	d6	PaWa87p	anserina	het-d	het-d	118	7
d6_het-d__PaWa87p_119	d6	PaWa87p	anserina	het-d	het-d	119	8
d2_het-d__PaWa87p_120	d2	PaWa87p	anserina	het-d	het-d	120	9
d11_het-d__PaWa87p_121	d11	PaWa87p	anserina	het-d	het-d	121	10
d7_het-d__PaWa87p_122	d7	PaWa87p	anserina	het-d	het-d	122	11
d1_het-d__PaWa100p_123	d1	PaWa100p	anserina	het-d	het-d	123	1
d2_het-d__PaWa100p_124	d2	PaWa100p	anserina	het-d	het-d	124	2
d3_het-d__PaWa100p_125	d3	PaWa100p	anserina	het-d	het-d	125	3
d4_het-d__PaWa100p_126	d4	PaWa100p	anserina	het-d	het-d	126	4
d5_het-d__PaWa100p_127	d5	PaWa100p	anserina	het-d	het-d	127	5
d4_het-d__PaWa100p_128	d4	PaWa100p	anserina	het-d	het-d	128	6
d6_het-d__PaWa100p_129	d6	PaWa100p	anserina	het-d	het-d	129	7
d6_het-d__PaWa100p_130	d6	PaWa100p	anserina	het-d	het-d	130	8
d2_het-d__PaWa100p_131	d2	PaWa100p	anserina	het-d	het-d	131	9
d12_het-d__PaWa100p_132	d12	PaWa100p	anserina	het-d	het-d	132	10
d7_het-d__PaWa100p_133	d7	PaWa100p	anserina	het-d	het-d	133	11
d1_het-d__PaWa137m_134	d1	PaWa137m	anserina	het-d	het-d	134	1
d2_het-d__PaWa137m_135	d2	PaWa137m	anserina	het-d	het-d	135	2
d4_het-d__PaWa137m_136	d4	PaWa137m	anserina	het-d	het-d	136	3
d5_het-d__PaWa137m_137	d5	PaWa137m	anserina	het-d	het-d	137	4
d4_het-d__PaWa137m_138	d4	PaWa137m	anserina	het-d	het-d	138	5
d6_het-d__PaWa137m_139	d6	PaWa137m	anserina	het-d	het-d	139	6
d6_het-d__PaWa137m_140	d6	PaWa137m	anserina	het-d	het-d	140	7
d2_het-d__PaWa137m_141	d2	PaWa137m	anserina	het-d	het-d	141	8
d11_het-d__PaWa137m_142	d11	PaWa137m	anserina	het-d	het-d	142	9
d7_het-d__PaWa137m_143	d7	PaWa137m	anserina	het-d	het-d	143	10
d1_het-d__PaTgp_144	d1	PaTgp	anserina	het-d	het-d	144	1
d10_het-d__PaTgp_145	d10	PaTgp	anserina	het-d	het-d	145	2
d4_het-d__PaTgp_146	d4	PaTgp	anserina	het-d	het-d	146	3
d5_het-d__PaTgp_147	d5	PaTgp	anserina	het-d	het-d	147	4
d4_het-d__PaTgp_148	d4	PaTgp	anserina	het-d	het-d	148	5
d6_het-d__PaTgp_149	d6	PaTgp	anserina	het-d	het-d	149	6
d6_het-d__PaTgp_150	d6	PaTgp	anserina	het-d	het-d	150	7
d2_het-d__PaTgp_151	d2	PaTgp	anserina	het-d	het-d	151	8
d11_het-d__PaTgp_152	d11	PaTgp	anserina	het-d	het-d	152	9
d7_het-d__PaTgp_153	d7	PaTgp	anserina	het-d	het-d	153	10
d13_het-d__Podan2_154	d13	PaSp	anserina	het-d	het-d	154	1
d10_het-d__Podan2_155	d10	PaSp	anserina	het-d	het-d	155	2
d20_het-d__Podan2_156	d20	PaSp	anserina	het-d	het-d	156	3
d6_het-d__Podan2_157	d6	PaSp	anserina	het-d	het-d	157	4
d2_het-d__Podan2_158	d2	PaSp	anserina	het-d	het-d	158	5
w1_hnwd1__PaZp.R10_159	w1	PaZp	anserina	hnwd1	hnwd1	159	1
w2_hnwd1__PaZp.R10_160	w2	PaZp	anserina	hnwd1	hnwd1	160	2
w3_hnwd1__PaZp.R10_161	w3	PaZp	anserina	hnwd1	hnwd1	161	3
w4_hnwd1__PaZp.R10_162	w4	PaZp	anserina	hnwd1	hnwd1	162	4
w5_hnwd1__PaZp.R10_163	w5	PaZp	anserina	hnwd1	hnwd1	163	5
w6_hnwd1__PaZp.R10_164	w6	PaZp	anserina	hnwd1	hnwd1	164	6
w7_hnwd1__PaZp.R10_165	w7	PaZp	anserina	hnwd1	hnwd1	165	7
w8_hnwd1__PaZp.R10_166	w8	PaZp	anserina	hnwd1	hnwd1	166	8
w9_hnwd1__PaZp.R10_167	w9	PaZp	anserina	hnwd1	hnwd1	167	9
w10_hnwd1__PaZp.R10_168	w10	PaZp	anserina	hnwd1	hnwd1	168	10
w11_hnwd1__PaZp.R10_169	w11	PaZp	anserina	hnwd1	hnwd1	169	11
w12_hnwd1__PaZp.R10_170	w12	PaZp	anserina	hnwd1	hnwd1	170	12
w1_hnwd1__PaWa21m_171	w1	PaWa21m	anserina	hnwd1	hnwd1	171	1
w2_hnwd1__PaWa21m_172	w2	PaWa21m	anserina	hnwd1	hnwd1	172	2
w3_hnwd1__PaWa21m_173	w3	PaWa21m	anserina	hnwd1	hnwd1	173	3
w4_hnwd1__PaWa21m_174	w4	PaWa21m	anserina	hnwd1	hnwd1	174	4
w13_hnwd1__PaWa21m_175	w13	PaWa21m	anserina	hnwd1	hnwd1	175	5
w2_hnwd1__PaWa21m_176	w2	PaWa21m	anserina	hnwd1	hnwd1	176	6
w3_hnwd1__PaWa21m_177	w3	PaWa21m	anserina	hnwd1	hnwd1	177	7
w3_hnwd1__PaWa21m_178	w3	PaWa21m	anserina	hnwd1	hnwd1	178	8
w4_hnwd1__PaWa21m_179	w4	PaWa21m	anserina	hnwd1	hnwd1	179	9
w13_hnwd1__PaWa21m_180	w13	PaWa21m	anserina	hnwd1	hnwd1	180	10
w14_hnwd1__PaWa21m_181	w14	PaWa21m	anserina	hnwd1	hnwd1	181	11
w11_hnwd1__PaWa21m_182	w11	PaWa21m	anserina	hnwd1	hnwd1	182	12
w12_hnwd1__PaWa21m_183	w12	PaWa21m	anserina	hnwd1	hnwd1	183	13
w1_hnwd1__PaWa28m_184	w1	PaWa28m	anserina	hnwd1	hnwd1	184	1
w2_hnwd1__PaWa28m_185	w2	PaWa28m	anserina	hnwd1	hnwd1	185	2
w3_hnwd1__PaWa28m_186	w3	PaWa28m	anserina	hnwd1	hnwd1	186	3
w4_hnwd1__PaWa28m_187	w4	PaWa28m	anserina	hnwd1	hnwd1	187	4
w13_hnwd1__PaWa28m_188	w13	PaWa28m	anserina	hnwd1	hnwd1	188	5
w2_hnwd1__PaWa28m_189	w2	PaWa28m	anserina	hnwd1	hnwd1	189	6
w3_hnwd1__PaWa28m_190	w3	PaWa28m	anserina	hnwd1	hnwd1	190	7
w3_hnwd1__PaWa28m_191	w3	PaWa28m	anserina	hnwd1	hnwd1	191	8
w4_hnwd1__PaWa28m_192	w4	PaWa28m	anserina	hnwd1	hnwd1	192	9
w13_hnwd1__PaWa28m_193	w13	PaWa28m	anserina	hnwd1	hnwd1	193	10
w14_hnwd1__PaWa28m_194	w14	PaWa28m	anserina	hnwd1	hnwd1	194	11
w11_hnwd1__PaWa28m_195	w11	PaWa28m	anserina	hnwd1	hnwd1	195	12
w12_hnwd1__PaWa28m_196	w12	PaWa28m	anserina	hnwd1	hnwd1	196	13
w1_hnwd1__PaWa46p_197	w1	PaWa46p	anserina	hnwd1	hnwd1	197	1
w2_hnwd1__PaWa46p_198	w2	PaWa46p	anserina	hnwd1	hnwd1	198	2
w3_hnwd1__PaWa46p_199	w3	PaWa46p	anserina	hnwd1	hnwd1	199	3
w4_hnwd1__PaWa46p_200	w4	PaWa46p	anserina	hnwd1	hnwd1	200	4
w13_hnwd1__PaWa46p_201	w13	PaWa46p	anserina	hnwd1	hnwd1	201	5
w2_hnwd1__PaWa46p_202	w2	PaWa46p	anserina	hnwd1	hnwd1	202	6
w3_hnwd1__PaWa46p_203	w3	PaWa46p	anserina	hnwd1	hnwd1	203	7
w3_hnwd1__PaWa46p_204	w3	PaWa46p	anserina	hnwd1	hnwd1	204	8
w4_hnwd1__PaWa46p_205	w4	PaWa46p	anserina	hnwd1	hnwd1	205	9
w13_hnwd1__PaWa46p_206	w13	PaWa46p	anserina	hnwd1	hnwd1	206	10
w14_hnwd1__PaWa46p_207	w14	PaWa46p	anserina	hnwd1	hnwd1	207	11
w11_hnwd1__PaWa46p_208	w11	PaWa46p	anserina	hnwd1	hnwd1	208	12
w12_hnwd1__PaWa46p_209	w12	PaWa46p	anserina	hnwd1	hnwd1	209	13
w1_hnwd1__PaWa53m_210	w1	PaWa53m	anserina	hnwd1	hnwd1	210	1
w2_hnwd1__PaWa53m_211	w2	PaWa53m	anserina	hnwd1	hnwd1	211	2
w3_hnwd1__PaWa53m_212	w3	PaWa53m	anserina	hnwd1	hnwd1	212	3
w4_hnwd1__PaWa53m_213	w4	PaWa53m	anserina	hnwd1	hnwd1	213	4
w13_hnwd1__PaWa53m_214	w13	PaWa53m	anserina	hnwd1	hnwd1	214	5
w2_hnwd1__PaWa53m_215	w2	PaWa53m	anserina	hnwd1	hnwd1	215	6
w3_hnwd1__PaWa53m_216	w3	PaWa53m	anserina	hnwd1	hnwd1	216	7
w3_hnwd1__PaWa53m_217	w3	PaWa53m	anserina	hnwd1	hnwd1	217	8
w4_hnwd1__PaWa53m_218	w4	PaWa53m	anserina	hnwd1	hnwd1	218	9
w13_hnwd1__PaWa53m_219	w13	PaWa53m	anserina	hnwd1	hnwd1	219	10
w14_hnwd1__PaWa53m_220	w14	PaWa53m	anserina	hnwd1	hnwd1	220	11
w11_hnwd1__PaWa53m_221	w11	PaWa53m	anserina	hnwd1	hnwd1	221	12
w12_hnwd1__PaWa53m_222	w12	PaWa53m	anserina	hnwd1	hnwd1	222	13
w1_hnwd1__PaWa58m_223	w1	PaWa58m	anserina	hnwd1	hnwd1	223	1
w2_hnwd1__PaWa58m_224	w2	PaWa58m	anserina	hnwd1	hnwd1	224	2
w3_hnwd1__PaWa58m_225	w3	PaWa58m	anserina	hnwd1	hnwd1	225	3
w4_hnwd1__PaWa58m_226	w4	PaWa58m	anserina	hnwd1	hnwd1	226	4
w13_hnwd1__PaWa58m_227	w13	PaWa58m	anserina	hnwd1	hnwd1	227	5
w2_hnwd1__PaWa58m_228	w2	PaWa58m	anserina	hnwd1	hnwd1	228	6
w3_hnwd1__PaWa58m_229	w3	PaWa58m	anserina	hnwd1	hnwd1	229	7
w3_hnwd1__PaWa58m_230	w3	PaWa58m	anserina	hnwd1	hnwd1	230	8
w4_hnwd1__PaWa58m_231	w4	PaWa58m	anserina	hnwd1	hnwd1	231	9
w13_hnwd1__PaWa58m_232	w13	PaWa58m	anserina	hnwd1	hnwd1	232	10
w14_hnwd1__PaWa58m_233	w14	PaWa58m	anserina	hnwd1	hnwd1	233	11
w11_hnwd1__PaWa58m_234	w11	PaWa58m	anserina	hnwd1	hnwd1	234	12
w12_hnwd1__PaWa58m_235	w12	PaWa58m	anserina	hnwd1	hnwd1	235	13
w1_hnwd1__PaWa63p_236	w1	PaWa63p	anserina	hnwd1	hnwd1	236	1
w2_hnwd1__PaWa63p_237	w2	PaWa63p	anserina	hnwd1	hnwd1	237	2
w3_hnwd1__PaWa63p_238	w3	PaWa63p	anserina	hnwd1	hnwd1	238	3
w4_hnwd1__PaWa63p_239	w4	PaWa63p	anserina	hnwd1	hnwd1	239	4
w13_hnwd1__PaWa63p_240	w13	PaWa63p	anserina	hnwd1	hnwd1	240	5
w2_hnwd1__PaWa63p_241	w2	PaWa63p	anserina	hnwd1	hnwd1	241	6
w3_hnwd1__PaWa63p_242	w3	PaWa63p	anserina	hnwd1	hnwd1	242	7
w3_hnwd1__PaWa63p_243	w3	PaWa63p	anserina	hnwd1	hnwd1	243	8
w4_hnwd1__PaWa63p_244	w4	PaWa63p	anserina	hnwd1	hnwd1	244	9
w13_hnwd1__PaWa63p_245	w13	PaWa63p	anserina	hnwd1	hnwd1	245	10
w14_hnwd1__PaWa63p_246	w14	PaWa63p	anserina	hnwd1	hnwd1	246	11
w11_hnwd1__PaWa63p_247	w11	PaWa63p	anserina	hnwd1	hnwd1	247	12
w12_hnwd1__PaWa63p_248	w12	PaWa63p	anserina	hnwd1	hnwd1	248	13
w1_hnwd1__PaWa87p_249	w1	PaWa87p	anserina	hnwd1	hnwd1	249	1
w1_hnwd1__PaWa100p_250	w1	PaWa100p	anserina	hnwd1	hnwd1	250	1
w2_hnwd1__PaWa100p_251	w2	PaWa100p	anserina	hnwd1	hnwd1	251	2
w3_hnwd1__PaWa100p_252	w3	PaWa100p	anserina	hnwd1	hnwd1	252	3
w15_hnwd1__PaWa100p_253	w15	PaWa100p	anserina	hnwd1	hnwd1	253	4
w2_hnwd1__PaWa100p_254	w2	PaWa100p	anserina	hnwd1	hnwd1	254	5
w3_hnwd1__PaWa100p_255	w3	PaWa100p	anserina	hnwd1	hnwd1	255	6
w4_hnwd1__PaWa100p_256	w4	PaWa100p	anserina	hnwd1	hnwd1	256	7
w13_hnwd1__PaWa100p_257	w13	PaWa100p	anserina	hnwd1	hnwd1	257	8
w2_hnwd1__PaWa100p_258	w2	PaWa100p	anserina	hnwd1	hnwd1	258	9
w3_hnwd1__PaWa100p_259	w3	PaWa100p	anserina	hnwd1	hnwd1	259	10
w3_hnwd1__PaWa100p_260	w3	PaWa100p	anserina	hnwd1	hnwd1	260	11
w4_hnwd1__PaWa100p_261	w4	PaWa100p	anserina	hnwd1	hnwd1	261	12
w13_hnwd1__PaWa100p_262	w13	PaWa100p	anserina	hnwd1	hnwd1	262	13
w14_hnwd1__PaWa100p_263	w14	PaWa100p	anserina	hnwd1	hnwd1	263	14
w11_hnwd1__PaWa100p_264	w11	PaWa100p	anserina	hnwd1	hnwd1	264	15
w12_hnwd1__PaWa100p_265	w12	PaWa100p	anserina	hnwd1	hnwd1	265	16
w1_hnwd1__PaWa137m_266	w1	PaWa137m	anserina	hnwd1	hnwd1	266	1
w2_hnwd1__PaWa137m_267	w2	PaWa137m	anserina	hnwd1	hnwd1	267	2
w3_hnwd1__PaWa137m_268	w3	PaWa137m	anserina	hnwd1	hnwd1	268	3
w4_hnwd1__PaWa137m_269	w4	PaWa137m	anserina	hnwd1	hnwd1	269	4
w13_hnwd1__PaWa137m_270	w13	PaWa137m	anserina	hnwd1	hnwd1	270	5
w6_hnwd1__PaWa137m_271	w6	PaWa137m	anserina	hnwd1	hnwd1	271	6
w3_hnwd1__PaWa137m_272	w3	PaWa137m	anserina	hnwd1	hnwd1	272	7
w4_hnwd1__PaWa137m_273	w4	PaWa137m	anserina	hnwd1	hnwd1	273	8
w13_hnwd1__PaWa137m_274	w13	PaWa137m	anserina	hnwd1	hnwd1	274	9
w9_hnwd1__PaWa137m_275	w9	PaWa137m	anserina	hnwd1	hnwd1	275	10
w16_hnwd1__PaWa137m_276	w16	PaWa137m	anserina	hnwd1	hnwd1	276	11
w12_hnwd1__PaWa137m_277	w12	PaWa137m	anserina	hnwd1	hnwd1	277	12
w1_hnwd1__PaYp_278	w1	PaYp	anserina	hnwd1	hnwd1	278	1
w2_hnwd1__PaYp_279	w2	PaYp	anserina	hnwd1	hnwd1	279	2
w3_hnwd1__PaYp_280	w3	PaYp	anserina	hnwd1	hnwd1	280	3
w4_hnwd1__PaYp_281	w4	PaYp	anserina	hnwd1	hnwd1	281	4
w13_hnwd1__PaYp_282	w13	PaYp	anserina	hnwd1	hnwd1	282	5
w2_hnwd1__PaYp_283	w2	PaYp	anserina	hnwd1	hnwd1	283	6
w3_hnwd1__PaYp_284	w3	PaYp	anserina	hnwd1	hnwd1	284	7
w3_hnwd1__PaYp_285	w3	PaYp	anserina	hnwd1	hnwd1	285	8
w4_hnwd1__PaYp_286	w4	PaYp	anserina	hnwd1	hnwd1	286	9
w13_hnwd1__PaYp_287	w13	PaYp	anserina	hnwd1	hnwd1	287	10
w14_hnwd1__PaYp_288	w14	PaYp	anserina	hnwd1	hnwd1	288	11
w11_hnwd1__PaYp_289	w11	PaYp	anserina	hnwd1	hnwd1	289	12
w12_hnwd1__PaYp_290	w12	PaYp	anserina	hnwd1	hnwd1	290	13
w1_hnwd1__PaTgp_291	w1	PaTgp	anserina	hnwd1	hnwd1	291	1
w2_hnwd1__PaTgp_292	w2	PaTgp	anserina	hnwd1	hnwd1	292	2
w3_hnwd1__PaTgp_293	w3	PaTgp	anserina	hnwd1	hnwd1	293	3
w17_hnwd1__PaTgp_294	w17	PaTgp	anserina	hnwd1	hnwd1	294	4
w18_hnwd1__PaTgp_295	w18	PaTgp	anserina	hnwd1	hnwd1	295	5
w3_hnwd1__PaTgp_296	w3	PaTgp	anserina	hnwd1	hnwd1	296	6
w4_hnwd1__PaTgp_297	w4	PaTgp	anserina	hnwd1	hnwd1	297	7
w13_hnwd1__PaTgp_298	w13	PaTgp	anserina	hnwd1	hnwd1	298	8
w14_hnwd1__PaTgp_299	w14	PaTgp	anserina	hnwd1	hnwd1	299	9
w11_hnwd1__PaTgp_300	w11	PaTgp	anserina	hnwd1	hnwd1	300	10
w1_hnwd1__Podan2_301	w1	PaSp	anserina	hnwd1	hnwd1	301	1
w2_hnwd1__Podan2_302	w2	PaSp	anserina	hnwd1	hnwd1	302	2
w3_hnwd1__Podan2_303	w3	PaSp	anserina	hnwd1	hnwd1	303	3
w4_hnwd1__Podan2_304	w4	PaSp	anserina	hnwd1	hnwd1	304	4
w2_hnwd1__Podan2_305	w2	PaSp	anserina	hnwd1	hnwd1	305	5
w3_hnwd1__Podan2_306	w3	PaSp	anserina	hnwd1	hnwd1	306	6
w3_hnwd1__Podan2_307	w3	PaSp	anserina	hnwd1	hnwd1	307	7
w4_hnwd1__Podan2_308	w4	PaSp	anserina	hnwd1	hnwd1	308	8
w13_hnwd1__Podan2_309	w13	PaSp	anserina	hnwd1	hnwd1	309	9
w19_hnwd1__Podan2_310	w19	PaSp	anserina	hnwd1	hnwd1	310	10
